,OVL-1,OVL-2,Welch t,F,Mann-Whitney U,Cramér-von Mises
4,604,0,883,1066,604,604
8,468,322,1244,961,1277,1235
16,1147,585,1746,986,1606,1664
32,1926,1019,2523,1008,2393,2360
64,2598,1301,4064,1032,3924,3762
128,5268,2621,7076,987,6869,6484
256,9538,4954,12225,1013,11835,11306
512,15600,10628,17824,1004,17570,17169
1024,19535,17669,19908,982,19864,19814
2048,19997,19947,20000,1005,20000,20000
4096,20000,20000,20000,945,20000,20000
