,OVL-1,OVL-2,Welch t,F,Mann-Whitney U,Cramér-von Mises
4,568,0,791,937,568,568
8,334,331,918,1051,954,920
16,700,442,995,1000,948,1040
32,953,651,986,986,1020,1070
64,732,695,1063,1012,1041,1065
128,866,779,988,948,962,964
256,867,752,968,946,978,957
512,867,888,983,999,983,971
1024,933,960,1032,1043,1037,1024
2048,1002,909,1008,988,977,986
4096,993,976,987,1041,981,981
