,OVL-1,OVL-2,Welch t,F,Mann-Whitney U,Cramér-von Mises
4,583,0,864,910,583,583
8,362,306,991,880,1020,977
16,716,497,992,731,920,1038
32,951,724,1003,691,999,1064
64,754,794,1016,673,1006,1048
128,1026,1087,1006,702,1016,1082
256,1054,1399,994,707,990,1101
512,1256,2432,1021,673,1052,1287
1024,1642,4169,1004,660,1020,1566
2048,2871,8143,1009,654,956,2417
4096,6172,14956,967,687,994,5318
