,OVL-1,OVL-2,Welch t,F,Mann-Whitney U,Cramér-von Mises
4,578,0,891,847,578,578
8,444,440,977,585,1015,1004
16,798,816,981,484,925,1060
32,1290,1756,974,411,994,1279
64,1409,3129,976,398,993,1538
128,2919,6994,1006,380,1040,2369
256,5746,13144,1048,388,1048,5008
512,11513,19138,996,411,1022,12116
1024,18702,20000,1003,387,1019,19386
2048,20000,20000,980,378,1019,20000
4096,20000,20000,969,399,1001,20000
