,OVL-1,OVL-2,Welch t,F,Mann-Whitney U,Cramér-von Mises
4,581,0,852,1066,581,581
8,422,374,963,1134,1021,988
16,713,528,932,1287,902,990
32,957,852,1014,1652,986,1062
64,779,1036,984,2281,987,1060
128,1128,1665,977,3699,963,1138
256,1411,2535,1016,6487,998,1405
512,1837,5038,1009,11453,1035,1901
1024,3241,9877,968,17330,945,3409
2048,7325,16468,1028,19802,1015,8288
4096,14940,19783,979,20000,949,16993
