,OVL-1,OVL-2,Welch t,F,Mann-Whitney U,Cramér-von Mises
4,578,0,919,822,578,578
8,426,432,976,625,1024,1006
16,894,786,1028,511,989,1158
32,1222,1591,944,435,948,1166
64,1332,2730,932,414,954,1340
128,2721,5969,974,421,1017,2102
256,5093,11242,1015,421,1026,4120
512,10341,18075,1022,386,1051,10253
1024,17768,19967,1038,464,1040,18495
2048,19985,20000,940,409,965,20000
4096,20000,20000,952,376,995,20000
